日期,做空,做多,主力空,主力多
1月5日,"['BB', 'WR', 'J', 'FU', 'TC', 'JD', 'CS', 'MA', 'BU']","['RI', 'V', 'AL', 'RU', 'CU', 'L', 'B', 'PP', 'ME']","['BB1501.DCE', 'WR1502.SHF', 'J1501.DCE', 'FU1505.SHF', 'TC501.CZC', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'BU1509.SHF']","['RI501.CZC', 'V1509.DCE', 'AL1502.SHF', 'RU1509.SHF', 'CU1504.SHF', 'L1509.DCE', 'B1503.DCE', 'PP1509.DCE', 'ME501.CZC']"
1月6日,"['J', 'FU', 'TC', 'JD', 'CS', 'BU', 'MA', 'WH', 'CF']","['V', 'RU', 'CU', 'RI', 'L', 'BB', 'PP', 'ME', 'B']","['J1501.DCE', 'FU1505.SHF', 'TC501.CZC', 'JD1509.DCE', 'CS1509.DCE', 'BU1509.SHF', 'MA509.CZC', 'WH505.CZC', 'CF509.CZC']","['V1509.DCE', 'RU1509.SHF', 'CU1504.SHF', 'RI501.CZC', 'L1509.DCE', 'BB1505.DCE', 'PP1509.DCE', 'ME501.CZC', 'FB1508.DCE']"
1月7日,"['FU', 'J', 'TC', 'JD', 'CS', 'BU', 'MA', 'WH', 'HC']","['V', 'RU', 'CU', 'L', 'PP', 'RI', 'BB', 'ME', 'B']","['FU1506.SHF', 'J1501.DCE', 'TC501.CZC', 'JD1509.DCE', 'CS1509.DCE', 'BU1509.SHF', 'MA509.CZC', 'WH505.CZC', 'HC1501.SHF']","['V1509.DCE', 'RU1509.SHF', 'CU1504.SHF', 'L1509.DCE', 'PP1509.DCE', 'RI501.CZC', 'BB1505.DCE', 'ME501.CZC', 'FB1508.DCE']"
1月8日,"['J', 'FU', 'JD', 'CS', 'BU', 'FB', 'MA', 'HC', 'WH']","['RM', 'V', 'RU', 'CU', 'I', 'BB', 'PP', 'L', 'ME']","['J1501.DCE', 'FU1506.SHF', 'JD1509.DCE', 'CS1509.DCE', 'BU1509.SHF', 'FB1501.DCE', 'MA509.CZC', 'HC1501.SHF', 'WH505.CZC']","['RM509.CZC', 'V1509.DCE', 'RU1509.SHF', 'CU1504.SHF', 'I1509.DCE', 'BB1505.DCE', 'PP1509.DCE', 'L1509.DCE', 'ME501.CZC']"
1月9日,"['J', 'BU', 'FU', 'JD', 'CS', 'HC', 'MA', 'WH', 'TA']","['A', 'RM', 'RU', 'L', 'CU', 'PP', 'I', 'WR', 'ME']","['J1501.DCE', 'BU1509.SHF', 'FU1506.SHF', 'JD1509.DCE', 'CS1509.DCE', 'HC1501.SHF', 'MA509.CZC', 'WH505.CZC', 'TA509.CZC']","['A1509.DCE', 'RM509.CZC', 'RU1509.SHF', 'L1509.DCE', 'CU1504.SHF', 'PP1509.DCE', 'I1509.DCE', 'WR1502.SHF', 'ME501.CZC']"
1月12日,"['J', 'BU', 'FU', 'JD', 'HC', 'CS', 'MA', 'WH', 'SR']","['RM', 'RI', 'L', 'RU', 'PP', 'CU', 'AF', 'I', 'ME']","['J1501.DCE', 'BU1509.SHF', 'FU1506.SHF', 'JD1509.DCE', 'HC1501.SHF', 'CS1509.DCE', 'MA509.CZC', 'WH505.CZC', 'SR509.CZC']","['RM509.CZC', 'RI501.CZC', 'L1509.DCE', 'RU1509.SHF', 'PP1509.DCE', 'CU1504.SHF', 'AF1506-S.CFE', 'I1509.DCE', 'ME501.CZC']"
1月13日,"['J', 'BU', 'FU', 'JD', 'CS', 'MA', 'HC', 'IM', 'WH']","['RM', 'RI', 'BB', 'RU', 'L', 'CU', 'PP', 'I', 'ME']","['J1501.DCE', 'BU1509.SHF', 'FU1506.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'HC1501.SHF', 'IM_S1503.SHF', 'WH505.CZC']","['RM509.CZC', 'RI501.CZC', 'BB1505.DCE', 'RU1509.SHF', 'L1509.DCE', 'CU1504.SHF', 'PP1509.DCE', 'I1509.DCE', 'ME502.CZC']"
1月14日,"['J', 'BU', 'FB', 'FU', 'IM', 'JD', 'CS', 'MA', 'WH']","['A', 'RM', 'RU', 'I', 'L', 'CU', 'PP', 'WR', 'ME']","['J1501.DCE', 'BU1509.SHF', 'FB1501.DCE', 'FU1506.SHF', 'IM_S1503.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'WH505.CZC']","['A1509.DCE', 'RM509.CZC', 'RU1509.SHF', 'I1509.DCE', 'L1509.DCE', 'CU1504.SHF', 'PP1509.DCE', 'WR1502.SHF', 'ME502.CZC']"
1月15日,"['J', 'BU', 'JD', 'FB', 'FU', 'BB', 'HC', 'CS', 'MA']","['LR', 'RM', 'RU', 'WH', 'I', 'L', 'PP', 'WR', 'ME']","['J1501.DCE', 'BU1509.SHF', 'JD1509.DCE', 'FB1501.DCE', 'FU1506.SHF', 'BB1505.DCE', 'HC1501.SHF', 'CS1509.DCE', 'MA509.CZC']","['LR501.CZC', 'RM509.CZC', 'RU1509.SHF', 'WH501.CZC', 'I1509.DCE', 'L1509.DCE', 'PP1509.DCE', 'WR1502.SHF', 'ME501.CZC']"
1月16日,"['B', 'BB', 'FU', 'BU', 'JD', 'CS', 'MA', 'CF', 'SR']","['RM', 'RU', 'CU', 'HC', 'I', 'L', 'PP', 'IM', 'ME']","['PB1512.SHF', 'BB1505.DCE', 'FU1506.SHF', 'BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'SR509.CZC']","['RM509.CZC', 'RU1509.SHF', 'CU1504.SHF', 'HC1503.SHF', 'I1509.DCE', 'L1509.DCE', 'PP1509.DCE', 'IM_S1503.SHF', 'ME502.CZC']"
1月19日,"['BB', 'BU', 'FU', 'JD', 'CS', 'MA', 'CF', 'TA', 'SR']","['CU', 'RU', 'RM', 'I', 'L', 'PP', 'IM', 'ME', 'WR']","['BB1505.DCE', 'BU1509.SHF', 'FU1506.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC']","['CU1504.SHF', 'RU1509.SHF', 'RM509.CZC', 'I1509.DCE', 'L1509.DCE', 'PP1509.DCE', 'IM_S1503.SHF', 'ME503.CZC', 'WR1505.SHF']"
1月20日,"['BB', 'FU', 'BU', 'JD', 'CS', 'MA', 'CF', 'TA', 'SR']","['CU', 'RU', 'RM', 'L', 'PP', 'HC', 'I', 'WR', 'ME']","['BB1505.DCE', 'FU1506.SHF', 'BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC']","['CU1504.SHF', 'RU1509.SHF', 'RM509.CZC', 'L1509.DCE', 'PP1509.DCE', 'HC1503.SHF', 'I1509.DCE', 'WR1502.SHF', 'ME504.CZC']"
1月21日,"['B', 'FU', 'BB', 'BU', 'JD', 'CS', 'MA', 'CF', 'SR']","['CU', 'A', 'RU', 'RM', 'L', 'PP', 'I', 'HC', 'WR']","['PB1511.SHF', 'FU1506.SHF', 'BB1505.DCE', 'BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'SR509.CZC']","['CU1504.SHF', 'A1509.DCE', 'RU1509.SHF', 'RM509.CZC', 'L1509.DCE', 'PP1509.DCE', 'I1509.DCE', 'HC1503.SHF', 'WR1502.SHF']"
1月22日,"['B', 'BB', 'FU', 'BU', 'JD', 'CS', 'MA', 'CF', 'TA']","['IM', 'A', 'RM', 'RU', 'L', 'PP', 'HC', 'I', 'WR']","['PB1511.SHF', 'BB1505.DCE', 'FU1506.SHF', 'BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC']","['IM_S1503.SHF', 'A1509.DCE', 'RM509.CZC', 'RU1509.SHF', 'L1509.DCE', 'PP1509.DCE', 'HC1503.SHF', 'I1509.DCE', 'WR1502.SHF']"
1月23日,"['FU', 'BB', 'BU', 'JD', 'PM', 'CS', 'MA', 'CF', 'CU']","['PB', 'A', 'HC', 'RM', 'RU', 'I', 'L', 'PP', 'WR']","['FU1506.SHF', 'BB1505.DCE', 'BU1509.SHF', 'JD1509.DCE', 'PM505.CZC', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'CU1503.SHF']","['PB1504.SHF', 'A1509.DCE', 'HC1503.SHF', 'RM509.CZC', 'RU1509.SHF', 'I1509.DCE', 'L1509.DCE', 'PP1509.DCE', 'WR1505.SHF']"
1月26日,"['BB', 'FU', 'IM', 'BU', 'JD', 'CS', 'MA', 'CF', 'TA']","['AL', 'PB', 'RM', 'RU', 'I', 'L', 'PP', 'ME', 'WR']","['BB1505.DCE', 'FU1506.SHF', 'IM_S1501.SHF', 'BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC']","['AL1503.SHF', 'PB1504.SHF', 'RM509.CZC', 'RU1509.SHF', 'I1509.DCE', 'L1509.DCE', 'PP1509.DCE', 'ME503.CZC', 'WR1505.SHF']"
1月27日,"['BB', 'FU', 'BU', 'IM', 'JD', 'CS', 'MA', 'FB', 'CF']","['WR', 'AF', 'A', 'AL', 'RM', 'I', 'L', 'RU', 'PP']","['BB1505.DCE', 'FU1506.SHF', 'BU1509.SHF', 'IM_S1502.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'FB1509.DCE', 'CF509.CZC']","['WR1511.SHF', 'AF1509-S.CFE', 'A1509.DCE', 'AL1503.SHF', 'RM509.CZC', 'I1509.DCE', 'L1509.DCE', 'RU1509.SHF', 'PP1509.DCE']"
1月28日,"['FU', 'JD', 'BU', 'CS', 'MA', 'RI', 'CF', 'CU', 'TA']","['RM', 'PB', 'IM', 'I', 'PP', 'L', 'RU', 'ME', 'BB']","['FU1506.SHF', 'JD1509.DCE', 'BU1509.SHF', 'CS1509.DCE', 'MA509.CZC', 'RI509.CZC', 'CF509.CZC', 'CU1503.SHF', 'TA509.CZC']","['RM509.CZC', 'PB1504.SHF', 'IM_S1502.SHF', 'I1509.DCE', 'PP1509.DCE', 'L1509.DCE', 'RU1509.SHF', 'ME502.CZC', 'BB1502.DCE']"
1月29日,"['FU', 'JD', 'BU', 'CS', 'MA', 'PM', 'CF', 'TA', 'SR']","['CU', 'HC', 'I', 'RU', 'L', 'PP', 'ME', 'BB', 'FB']","['FU1506.SHF', 'JD1509.DCE', 'BU1509.SHF', 'CS1509.DCE', 'MA509.CZC', 'PM505.CZC', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC']","['CU1505.SHF', 'HC1503.SHF', 'I1509.DCE', 'RU1509.SHF', 'L1509.DCE', 'PP1509.DCE', 'ME504.CZC', 'BB1502.DCE', 'FB1503.DCE']"
1月30日,"['FU', 'JD', 'BU', 'CS', 'MA', 'CF', 'TA', 'SR', 'PB']","['CU', 'I', 'L', 'PP', 'RU', 'ME', 'BB', 'FB', 'B']","['FU1506.SHF', 'JD1509.DCE', 'BU1509.SHF', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC', 'PB1503.SHF']","['CU1505.SHF', 'I1509.DCE', 'L1509.DCE', 'PP1509.DCE', 'RU1509.SHF', 'ME502.CZC', 'BB1503.DCE', 'FB1503.DCE', 'FB1504.DCE']"
2月2日,"['IM', 'JD', 'BU', 'FU', 'CS', 'MA', 'CF', 'TA', 'SR']","['P', 'RM', 'I', 'PP', 'RU', 'L', 'ME', 'BB', 'FB']","['IM_S1502.SHF', 'JD1509.DCE', 'BU1509.SHF', 'FU1506.SHF', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC']","['P1509.DCE', 'RM509.CZC', 'I1509.DCE', 'PP1509.DCE', 'RU1509.SHF', 'L1509.DCE', 'ME502.CZC', 'BB1503.DCE', 'FB1503.DCE']"
2月3日,"['JD', 'BU', 'IM', 'CS', 'MA', 'CF', 'TA', 'SR', 'PB']","['I', 'RM', 'PP', 'RU', 'ME', 'L', 'FU', 'BB', 'FB']","['JD1509.DCE', 'BU1509.SHF', 'IM_S1502.SHF', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC', 'PB1503.SHF']","['I1509.DCE', 'RM509.CZC', 'PP1509.DCE', 'RU1509.SHF', 'ME504.CZC', 'L1509.DCE', 'FU1503.SHF', 'BB1503.DCE', 'FB1503.DCE']"
2月4日,"['BU', 'JD', 'IM', 'CS', 'MA', 'RS', 'CF', 'TA', 'RB']","['P', 'RM', 'PP', 'L', 'RU', 'ME', 'FU', 'BB', 'FB']","['BU1509.SHF', 'JD1509.DCE', 'IM_S1502.SHF', 'CS1509.DCE', 'MA509.CZC', 'RS509.CZC', 'CF509.CZC', 'TA509.CZC', 'RB1510.SHF']","['P1509.DCE', 'RM509.CZC', 'PP1509.DCE', 'L1509.DCE', 'RU1509.SHF', 'ME504.CZC', 'FU1503.SHF', 'BB1503.DCE', 'FB1503.DCE']"
2月5日,"['BU', 'JD', 'CS', 'MA', 'CF', 'TA', 'RB', 'SR', 'PB']","['P', 'CU', 'IM', 'RM', 'RU', 'PP', 'L', 'FU', 'BB']","['BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'RB1510.SHF', 'SR509.CZC', 'PB1503.SHF']","['P1509.DCE', 'CU1505.SHF', 'IM_S1502.SHF', 'RM509.CZC', 'RU1509.SHF', 'PP1509.DCE', 'L1509.DCE', 'FU1503.SHF', 'BB1503.DCE']"
2月6日,"['JD', 'BU', 'IM', 'CS', 'MA', 'FB', 'CF', 'TA', 'SR']","['RM', 'PP', 'L', 'RU', 'RS', 'ME', 'FU', 'BB', 'B']","['JD1509.DCE', 'BU1509.SHF', 'IM_S1502.SHF', 'CS1509.DCE', 'MA509.CZC', 'FB1509.DCE', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC']","['RM509.CZC', 'PP1509.DCE', 'L1509.DCE', 'RU1509.SHF', 'RS509.CZC', 'ME504.CZC', 'FU1503.SHF', 'BB1503.DCE', 'BB1508.DCE']"
2月9日,"['BU', 'JD', 'CS', 'MA', 'CF', 'TA', 'SR', 'RB', 'J']","['A', 'CU', 'I', 'L', 'PP', 'RM', 'RU', 'BB']","['BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC', 'RB1510.SHF', 'J1509.DCE']","['A1509.DCE', 'CU1505.SHF', 'I1509.DCE', 'L1509.DCE', 'PP1509.DCE', 'RM509.CZC', 'RU1509.SHF', 'BB1503.DCE']"
2月10日,"['FU', 'BU', 'JD', 'CS', 'MA', 'IM', 'CF', 'TA', 'SR']","['AF', 'CU', 'PP', 'RM', 'L', 'RU', 'ME', 'BB', 'FB']","['FU1506.SHF', 'BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'IM_S1502.SHF', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC']","['AF1509-S.CFE', 'CU1505.SHF', 'PP1509.DCE', 'RM509.CZC', 'L1509.DCE', 'RU1509.SHF', 'ME504.CZC', 'BB1503.DCE', 'FB1503.DCE']"
